WMO,Deployment Date,Float model,program,RBR SN,X2old,X3old,X4old,X2,X3,X4,Source,analysis flag,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905515,2022-07-15T06:04:26,ALTO,Argo AUSTRALIA,203983,1.8732E-06,-7.7689E-10,1.4890E-13,1.4406E-06,-4.5788E-10,7.3491E-14,WMO5905516,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905518,2022-08-29T06:10:00,ALTO,Argo AUSTRALIA,203706,1.8732E-06,-7.7689E-10,1.4890E-13,1.6414E-06,-5.2170E-10,8.3735E-14,WMO5905517,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903472,2022-10-02T13:49:00,ALTO,Argo WHOI,204000,1.8732E-06,-7.7689E-10,1.4890E-13,1.40E-06,-4.44E-10,7.13E-14,nearby floats,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905522,2022-10-12T02:04:00,ALTO,Argo AUSTRALIA,203987,1.8732E-06,-7.7689E-10,1.4890E-13,1.5454E-06,-4.9118E-10,7.8836E-14,WMO5905521,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905523,2022-10-27T06:53:00,ALTO,Argo AUSTRALIA,203988,1.8732E-06,-7.7689E-10,1.4890E-13,1.5890E-06,-5.0505E-10,8.1063E-14,WMO5905524,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906740,2022-11-26T03:00:00,SOLO_II,Argo SIO,206472,1.8732E-06,-7.7689E-10,1.4890E-13,1.4057E-06,-4.4678E-10,7.1709E-14,WMO5906901,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5906966,2023-02-24T17:45:00,APEX,Argo UK,203600,1.8732E-06,-7.7689E-10,1.4890E-13,1.3271E-06,-4.2180E-10,6.7701E-14,WMO7901008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900841,2022-12-15T09:56:00,APEX,Argo US,205908,1.8732E-06,-7.7689E-10,1.4890E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900842,2022-12-18T06:01:00,APEX,Argo US,205909,1.8732E-06,-7.7689E-10,1.4890E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900845,2022-12-23T19:29:00,APEX,Argo US,206446,1.8732E-06,-7.7689E-10,1.4890E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
